monkey_id,group,MomAllLossType,PrimpIndex,CompetingSibIndex,q_grp_sub,q_kinBirth_sub,RankIndex01,CumlQuartIndex6_sub,CumlQuartIndex6_4_sub
ID0109,S,0,0,0,0,0,0,0,0
ID0149,HH,0,0,0,0,0,NA,NA,NA
ID0082,V,0,0,0,0,0,1,1,1
ID0001,HH,0,0,1,0,0,NA,NA,NA
ID0237,F,0,0,0,1,0,0,1,1
ID0128,HH,1,0,1,0,0,NA,NA,NA
ID0148,F,0,0,1,1,0,0,2,2
ID0074,S,0,1,0,0,0,0,1,1
ID0077,KK,1,0,0,0,0,1,2,2
ID0106,F,0,1,0,1,0,0,2,2
ID0040,KK,0,0,0,0,0,1,1,1
ID0028,KK,0,0,0,0,0,1,1,1
ID0072,KK,0,0,0,0,1,1,2,2
ID0104,KK,1,0,0,0,0,1,2,2
ID0174,KK,0,0,0,0,0,1,1,1
ID0144,KK,0,0,0,0,0,1,1,1
ID0175,KK,0,0,0,0,0,NA,NA,NA
ID0029,KK,0,1,0,0,0,1,2,2
ID0073,KK,1,0,0,0,0,1,2,2
ID0009,KK,1,0,0,0,0,1,2,2
ID0023,HH,0,0,0,0,0,NA,NA,NA
ID0105,KK,0,0,0,0,0,1,1,1
ID0021,KK,0,0,0,0,0,1,1,1
ID0171,KK,1,0,0,0,0,1,2,2
ID0094,HH,0,0,0,0,0,NA,NA,NA
ID0025,HH,0,0,0,0,0,NA,NA,NA
ID0027,KK,0,0,0,0,0,NA,NA,NA
ID0048,KK,0,0,0,0,0,NA,NA,NA
ID0123,HH,0,0,1,0,0,NA,NA,NA
ID0124,KK,0,0,0,0,0,1,1,1
ID0158,KK,0,0,0,0,0,1,1,1
ID0046,HH,1,0,0,0,0,NA,NA,NA
ID0065,KK,0,0,0,0,1,1,2,2
ID0191,KK,0,0,0,0,0,1,1,1
ID0170,KK,0,0,0,0,0,1,1,1
ID0145,KK,0,0,0,0,0,1,1,1
ID0160,KK,0,0,0,0,0,NA,NA,NA
ID0172,KK,0,0,0,0,1,1,2,2
ID0008,KK,0,0,0,0,0,1,1,1
ID0064,HH,0,0,0,0,0,NA,NA,NA
ID0189,HH,0,0,0,0,0,NA,NA,NA
ID0024,KK,0,0,0,0,1,1,2,2
ID0146,KK,0,0,0,0,1,1,2,2
ID0140,KK,0,1,0,0,0,1,2,2
ID0070,HH,0,1,0,0,0,NA,NA,NA
ID0142,HH,1,0,0,0,0,NA,NA,NA
ID0022,KK,1,0,0,0,0,1,2,2
ID0098,KK,1,0,0,0,1,1,3,3
ID0069,HH,0,0,1,0,1,NA,NA,NA
ID0097,HH,0,0,0,0,0,NA,NA,NA
ID0122,KK,0,1,0,0,0,1,2,2
ID0068,HH,1,0,0,0,0,NA,NA,NA
ID0041,HH,1,1,0,0,1,1,4,3
ID0125,KK,0,0,1,0,0,1,2,2
ID0026,KK,0,1,0,0,0,1,2,2
ID0042,HH,0,1,0,0,1,1,3,3
ID0004,R,1,0,0,1,1,1,4,3
ID0155,HH,0,0,0,0,0,NA,NA,NA
ID0062,KK,1,0,0,0,0,1,2,2
ID0168,KK,1,0,0,0,0,1,2,2
ID0018,KK,0,1,0,0,1,1,3,3
ID0159,KK,0,0,1,0,1,1,3,3
ID0091,KK,0,0,0,0,0,1,1,1
ID0099,KK,0,0,0,0,0,1,1,1
ID0087,HH,0,0,0,0,0,NA,NA,NA
ID0043,HH,1,0,0,0,0,NA,NA,NA
ID0071,KK,0,0,1,0,0,1,2,2
ID0090,HH,0,1,0,0,0,1,2,2
ID0113,HH,1,0,0,0,0,NA,NA,NA
ID0152,KK,1,0,0,0,0,1,2,2
ID0137,KK,0,0,0,0,0,1,1,1
ID0120,HH,1,0,0,0,0,NA,NA,NA
ID0184,KK,0,1,0,0,0,1,2,2
ID0188,R,0,0,0,1,0,NA,NA,NA
ID0088,HH,1,1,0,0,0,NA,NA,NA
ID0100,KK,1,1,1,0,0,1,4,3
ID0086,HH,0,0,0,0,0,NA,NA,NA
ID0059,KK,0,1,0,0,NA,1,NA,NA
ID0153,KK,0,0,0,0,0,NA,NA,NA
ID0036,HH,0,1,0,0,0,1,2,2
ID0186,HH,1,0,0,0,0,NA,NA,NA
ID0136,KK,0,0,0,0,0,1,1,1
ID0154,KK,0,0,0,0,0,1,1,1
ID0083,KK,0,0,0,0,0,1,1,1
ID0067,KK,0,0,0,0,0,1,1,1
ID0030,KK,0,0,0,0,0,1,1,1
ID0093,HH,0,0,0,0,0,NA,NA,NA
ID0190,HH,0,1,0,0,0,NA,NA,NA
ID0119,KK,0,1,0,0,1,1,3,3
ID0166,KK,0,1,0,0,0,NA,NA,NA
ID0138,KK,0,0,1,0,0,NA,NA,NA
ID0118,S,0,0,0,0,0,0,0,0
ID0165,R,0,1,0,1,1,1,4,3
ID0139,KK,0,0,0,0,0,1,1,1
ID0061,KK,0,0,1,0,0,1,2,2
ID0092,HH,0,0,0,0,0,NA,NA,NA
ID0096,KK,0,1,0,0,0,1,2,2
ID0035,HH,0,0,0,0,0,1,1,1
ID0156,HH,0,0,0,0,0,1,1,1
ID0169,KK,0,1,0,0,1,1,3,3
ID0058,HH,0,0,0,0,0,NA,NA,NA
ID0013,KK,1,0,0,0,0,1,2,2
ID0167,HH,0,0,0,0,0,NA,NA,NA
ID0111,HH,0,0,0,0,0,NA,NA,NA
ID0135,HH,0,0,0,0,0,NA,NA,NA
ID0157,KK,0,0,1,0,0,1,2,2
ID0141,KK,0,0,1,0,0,1,2,2
ID0112,F,0,1,0,1,0,0,2,2
ID0114,HH,0,1,0,0,0,1,2,2
ID0063,HH,0,0,1,0,0,NA,NA,NA
ID0147,F,0,0,0,1,0,0,1,1
ID0085,HH,1,0,0,0,1,NA,NA,NA
ID0150,HH,0,0,0,0,0,NA,NA,NA
ID0107,KK,0,0,0,0,0,1,1,1
ID0019,KK,0,0,1,0,0,1,2,2
ID0162,F,0,0,1,1,0,0,2,2
ID0089,R,0,0,1,1,1,1,4,3
ID0060,HH,0,0,1,0,0,NA,NA,NA
ID0095,KK,0,0,1,0,0,1,2,2
ID0132,KK,0,0,0,0,1,1,2,2
ID0151,HH,0,1,0,0,1,NA,NA,NA
ID0185,KK,0,0,0,0,0,1,1,1
ID0006,S,0,0,1,0,0,NA,NA,NA
ID0005,V,0,1,0,0,0,1,2,2
ID0045,HH,0,1,0,0,0,NA,NA,NA
ID0181,R,0,0,1,0,0,0,1,1
ID0129,HH,0,0,0,0,0,NA,NA,NA
ID0173,KK,1,0,0,0,0,1,2,2
ID0066,HH,0,0,1,0,0,NA,NA,NA
ID0163,R,1,0,1,0,0,0,2,2
ID0121,HH,0,0,0,0,0,NA,NA,NA
ID0102,HH,0,0,0,0,0,NA,NA,NA
ID0003,HH,0,1,1,0,0,NA,NA,NA
ID0044,KK,0,0,0,0,0,NA,NA,NA
ID0047,KK,0,0,1,0,0,NA,NA,NA
ID0130,HH,0,0,0,0,1,NA,NA,NA
ID0164,HH,0,0,1,0,0,NA,NA,NA
ID0056,KK,1,0,0,0,0,1,2,2
ID0039,R,0,0,1,1,0,NA,NA,NA
ID0117,F,1,0,1,1,1,0,4,3
ID0187,HH,1,0,0,0,0,NA,NA,NA
ID0017,F,0,0,0,1,0,0,1,1
ID0020,KK,0,0,1,0,1,NA,NA,NA
ID0115,R,0,1,0,1,1,NA,NA,NA
ID0015,KK,1,1,0,0,0,1,3,3
ID0143,HH,1,0,0,0,0,NA,NA,NA
ID0084,KK,1,0,1,0,0,1,3,3
ID0103,KK,0,0,0,0,1,1,2,2
ID0131,KK,1,0,0,0,0,1,2,2
ID0012,R,1,0,0,1,0,1,3,3
ID0052,R,0,0,0,1,0,0,1,1
ID0134,HH,0,1,1,0,0,NA,NA,NA
ID0127,R,0,0,0,0,0,0,0,0
ID0182,HH,1,0,0,0,1,1,3,3
ID0011,HH,0,0,0,0,0,1,1,1
ID0081,V,0,0,0,0,0,1,1,1
ID0051,KK,0,0,0,0,0,1,1,1
ID0014,KK,0,0,1,0,0,1,2,2
ID0002,HH,0,0,0,0,0,NA,NA,NA
ID0031,HH,0,1,0,0,0,NA,NA,NA
ID0116,HH,1,0,0,0,1,1,3,3
ID0038,V,0,0,0,0,1,NA,NA,NA
ID0034,KK,0,0,0,0,0,NA,NA,NA
ID0108,HH,0,0,0,0,0,NA,NA,NA
ID0183,HH,0,0,1,0,0,NA,NA,NA
ID0133,KK,1,1,0,0,0,1,3,3
ID0080,KK,0,0,0,0,0,1,1,1
ID0101,HH,1,0,0,0,0,NA,NA,NA
ID0179,HH,0,1,0,0,0,NA,NA,NA
ID0161,HH,0,0,1,0,1,NA,NA,NA
ID0180,R,0,0,1,1,0,1,3,3
ID0053,HH,0,0,0,0,0,NA,NA,NA
ID0076,S,0,0,0,0,0,0,0,0
ID0037,KK,1,0,0,0,0,1,2,2
ID0049,R,0,0,0,0,1,1,2,2
ID0178,V,0,0,0,0,0,1,1,1
ID0079,HH,0,0,1,0,0,NA,NA,NA
ID0033,HH,0,0,1,0,0,NA,NA,NA
ID0007,KK,0,0,0,0,0,1,1,1
ID0054,R,1,0,1,1,0,1,4,3
ID0016,V,0,0,1,0,0,1,2,2
ID0057,HH,1,0,0,0,1,NA,NA,NA
ID0055,KK,0,0,1,0,0,1,2,2
ID0126,KK,0,1,0,0,0,1,2,2
ID0078,V,0,0,0,0,0,1,1,1
ID0075,R,0,0,1,1,0,1,3,3
ID0177,KK,0,0,0,0,0,1,1,1
ID0032,F,0,0,0,1,0,NA,NA,NA
ID0176,R,0,0,0,0,0,0,0,0
ID0050,HH,0,0,0,0,0,0,0,0
ID0110,HH,0,0,1,0,0,1,2,2
