monkey_id	sex	group	chronological_age	body_weight_kg	bw_adj	tissue	Residual_adult
ID0130	F	HH	11	6.08	-0.849005976200708	blood	1.49667786229934
ID0161	F	HH	14	6.86	-0.078242792878253	blood	-0.275534347698117
ID0058	M	HH	6	9.88	0.893647696829645	blood	1.20877754241422
ID0164	F	HH	9	6.32	-0.52224582428047	blood	3.02649314728993
ID0086	M	HH	7	11.4	1.70598919318804	blood	1.38517998221617
ID0106	M	HH	16	5.76	-3.97115417973957	blood	-1.74685921273719
ID0025	M	HH	3	4.4	0.440248516197125	blood	-2.55644931181802
ID0149	F	HH	14	6.66	-0.278242792878251	blood	-2.18088909914244
ID0186	F	HH	5	5.74	0.0751650744082784	blood	0.111662904395957
ID0135	M	HH	7	13.02	3.32598919318804	blood	-0.374507903668049
ID0002	F	HH	12	5.84	-1.10018450170322	blood	-1.42652561784755
ID0094	M	HH	5	9.6	1.7984310662646	blood	-0.0333235990362997
ID0011	F	HH	15	6.74	-0.186307863908405	blood	1.41049905710615
ID0108	F	HH	15	7.18	0.253692136091594	blood	-0.768894133112881
ID0063	M	HH	4	6.4	0.355188655089434	blood	-1.67958449453018
ID0112	M	HH	8	8.32	-1.78402412343255	blood	1.98049133006515
ID0032	F	HH	20	5.98	-0.800698580636572	blood	-1.69188208340442
ID0123	M	HH	3	4.38	0.420248516197127	blood	-2.05012045856365
ID0121	F	HH	4	4.52	-0.561331017781739	blood	-1.83188026505897
ID0057	M	HH	6	8.14	-0.846352303170365	blood	1.837875117071
ID0181	M	HH	10	10.2	-0.322857173253484	blood	1.29649750888416
ID0183	F	HH	7	5.94	-0.552338824053127	blood	-1.23179643931055
ID0076	M	HH	17	9.74	0.336097645312601	blood	-2.3968657363983
ID0035	F	HH	11	6.72	-0.209005976200779	blood	-0.439561186839526
ID0041	F	HH	3	4.28	-0.167449744998611	blood	-1.83036290178249
ID0128	F	HH	14	6.9	-0.0382427928782523	blood	-1.16917529959051
ID0045	M	HH	3	5.54	1.58024851619713	blood	0.592389628722096
ID0120	F	HH	5	6.88	1.21516507440828	blood	0.852883086274346
ID0085	F	HH	7	6.1	-0.392338824053127	blood	0.565203121233579
ID0074	M	HH	17	8.7	-0.703902354687399	blood	-2.39393632383088
ID0082	M	HH	11	9.38	-1.19964325000943	blood	0.578130916442984
ID0092	F	HH	5	6.72	1.05516507440828	blood	-1.30268950064243
ID0102	F	HH	3	4	-0.447449744998611	blood	0.171209130366217
ID0167	F	HH	6	5.24	-0.907584103455416	blood	-1.08291852871734
ID0088	F	HH	7	6.36	-0.132338824053127	blood	-2.12970078429188
ID0039	M	KK	7	10.72	1.02598919318804	blood	1.91801399561589
ID0184	F	KK	9	6.16	-0.682245824280478	blood	-3.23321526765601
ID0059	M	KK	7	9.46	-0.234010806811962	blood	0.173012311637519
ID0147	M	KK	14	9.36	-0.897645195907893	blood	-1.28836234944806
