"body_weight_kg"	"tissue"	"chronological_age"	"group"	"monkey_id"	"Residual_adult"	"individual_sex"	"bw_adj"
6.08	"blood"	11	"HH"	"6B4"	1.49667786229934	"F"	-0.849005976200708
6.86	"blood"	14	"HH"	"80S"	-0.275534347698117	"F"	-0.078242792878253
9.88	"blood"	6	"HH"	"3L6"	1.20877754241422	"M"	0.893647696829645
6.32	"blood"	9	"HH"	"8E2"	3.02649314728993	"F"	-0.52224582428047
11.4	"blood"	7	"HH"	"4J0"	1.38517998221617	"M"	1.70598919318804
5.76	"blood"	16	"HH"	"50P"	-1.74685921273719	"M"	-3.97115417973957
4.4	"blood"	3	"HH"	"1R2"	-2.55644931181802	"M"	0.440248516197125
6.66	"blood"	14	"HH"	"77S"	-2.18088909914244	"F"	-0.278242792878251
5.74	"blood"	5	"HH"	"9N0"	0.111662904395957	"F"	0.0751650744082784
13.02	"blood"	7	"HH"	"6I4"	-0.374507903668049	"M"	3.32598919318804
5.84	"blood"	12	"HH"	"0B9"	-1.42652561784755	"F"	-1.10018450170322
9.6	"blood"	5	"HH"	"4N8"	-0.0333235990362997	"M"	1.7984310662646
6.74	"blood"	15	"HH"	"16S"	1.41049905710615	"F"	-0.186307863908405
7.18	"blood"	15	"HH"	"55R"	-0.768894133112881	"F"	0.253692136091594
6.4	"blood"	4	"HH"	"3P2"	-1.67958449453018	"M"	0.355188655089434
8.32	"blood"	8	"HH"	"5H7"	1.98049133006515	"M"	-1.78402412343255
5.98	"blood"	20	"HH"	"22H"	-1.69188208340442	"F"	-0.800698580636572
4.38	"blood"	3	"HH"	"5R9"	-2.05012045856365	"M"	0.420248516197127
4.52	"blood"	4	"HH"	"5P6"	-1.83188026505897	"F"	-0.561331017781739
8.14	"blood"	6	"HH"	"3L5"	1.837875117071	"M"	-0.846352303170365
10.2	"blood"	10	"HH"	"9C6"	1.29649750888416	"M"	-0.322857173253484
5.94	"blood"	7	"HH"	"9I7"	-1.23179643931055	"F"	-0.552338824053127
9.74	"blood"	17	"HH"	"43N"	-2.3968657363983	"M"	0.336097645312601
6.72	"blood"	11	"HH"	"2C7"	-0.439561186839526	"F"	-0.209005976200779
4.28	"blood"	3	"HH"	"2Q0"	-1.83036290178249	"F"	-0.167449744998611
6.9	"blood"	14	"HH"	"62S"	-1.16917529959051	"F"	-0.0382427928782523
5.54	"blood"	3	"HH"	"2S6"	0.592389628722096	"M"	1.58024851619713
6.88	"blood"	5	"HH"	"5N1"	0.852883086274346	"F"	1.21516507440828
6.1	"blood"	7	"HH"	"4I9"	0.565203121233579	"F"	-0.392338824053127
8.7	"blood"	17	"HH"	"41N"	-2.39393632383088	"M"	-0.703902354687399
9.38	"blood"	11	"HH"	"4C6"	0.578130916442984	"M"	-1.19964325000943
6.72	"blood"	5	"HH"	"4N5"	-1.30268950064243	"F"	1.05516507440828
4	"blood"	3	"HH"	"4S3"	0.171209130366217	"F"	-0.447449744998611
5.24	"blood"	6	"HH"	"8K7"	-1.08291852871734	"F"	-0.907584103455416
6.36	"blood"	7	"HH"	"4J6"	-2.12970078429188	"F"	-0.132338824053127
10.72	"blood"	7	"KK"	"2M4"	1.91801399561589	"M"	1.02598919318804
6.16	"blood"	9	"KK"	"9I8"	-3.23321526765601	"F"	-0.682245824280478
9.46	"blood"	7	"KK"	"3M3"	0.173012311637519	"M"	-0.234010806811962
9.36	"blood"	14	"KK"	"73Z"	-1.28836234944806	"M"	-0.897645195907893
3.62	"blood"	4	"KK"	"3T9"	0.535189832840908	"F"	-1.46133101778174
5.9	"blood"	17	"KK"	"60R"	-0.680810759573038	"F"	-0.983473120247861
9.06	"blood"	8	"KK"	"8L3"	0.787369158481769	"F"	2.34559008932104
7.5	"blood"	8	"KK"	"6L1"	1.36918449984007	"F"	0.785590089321038
7.74	"blood"	15	"KK"	"49V"	4.68101449452591	"F"	0.813692136091595
7.48	"blood"	8	"KK"	"9L9"	1.83536471640412	"F"	0.765590089321038
6.4	"blood"	6	"KK"	"8O9"	2.34437507891797	"F"	0.252415896544584
4.9	"blood"	3	"HH"	"3R3"	-1.77457955470316	"F"	0.452550255001389
8.1	"blood"	12	"KK"	"6D6"	1.77010878724243	"F"	1.15981549829678
6.78	"blood"	15	"KK"	"51V"	-0.723477769816538	"F"	-0.146307863908405
7.38	"blood"	5	"HH"	"4N7"	0.635808445830073	"M"	-0.421568933735395
6.14	"blood"	6	"KK"	"1P4"	0.199213549376535	"F"	-0.0075841034554167
7.36	"blood"	20	"KK"	"76J"	-2.16994132663084	"F"	0.579301419363428
9.3	"blood"	8	"HH"	"1G8"	2.16562346398493	"M"	-0.804024123432549
12.86	"blood"	16	"HH"	"91O"	0.31317458237144	"M"	3.12884582026042
4.91	"blood"	4	"HH"	"9O0"	-1.10528187814553	"M"	-1.13481134491057
3.85	"blood"	3	"HH"	"2Q2"	0.784112831783336	"F"	-0.597449744998611
7.1	"blood"	18	"KK"	"93O"	-0.920981621495092	"F"	0.246241389085281
12.2	"blood"	9	"KK"	"5J3"	0.039344245145559	"M"	1.83240016037635
6.94	"blood"	9	"KK"	"8I9"	1.87392492177503	"F"	0.0977541757195228
10.22	"blood"	14	"KK"	"46Z"	-1.68115009212633	"M"	-0.0376451959078919
6.26	"blood"	7	"KK"	"4M9"	1.50794794367783	"F"	-0.232338824053127
5.68	"blood"	4	"KK"	"1T7"	-0.10813486933137	"F"	0.598668982218261
10.54	"blood"	8	"KK"	"5K0"	0.871430392325921	"M"	0.43597587656745
11.72	"blood"	12	"KK"	"3E4"	3.33151189263217	"M"	1.17219480442111
6.64	"blood"	4	"KK"	"8T4"	-0.195001107479067	"F"	1.55866898221826
10.52	"blood"	17	"KK"	"31S"	-0.0175584301580975	"M"	1.1160976453126
