monkey_id	lid_pid	reads	unique	perc_chg_meth	perc_chh_meth	sample_name	tissue	individual_sex	group	age	social_rank
03Z	LID_108630_PID_10413	31378992	18764116	0.7%	0.5%	RDID_11656	spleen	F	HH	12.78	L
03Z	LID_109606_PID_10471	23872027	14392253	0.7%	0.5%	RDID_11332	skeletal_muscle	F	HH	12.78	L
03Z	LID_108522_PID_10414	26837329	15958521	0.7%	0.6%	RDID_10784	liver	F	HH	12.78	L
03Z	LID_1066606_PID_10511	33199887	17717641	0.7%	0.5%	RDID_14442	ovaries	F	HH	12.78	L
03Z	LID_1067505_PID_10515	31825692	18363759	0.7%	0.5%	RDID_13355	kidney	F	HH	12.78	L
03Z	LID_1068088_PID_10532	15538928	9282675	0.7%	0.5%	RDID_15183	thymus	F	HH	12.78	L
03Z	LID_1068682_PID_10540	15260556	9521363	0.7%	0.5%	RDID_15671	thyroid	F	HH	12.78	L
03Z	LID_1067434_PID_10518	18162059	13696230	0.6%	0.5%	RDID_12542	lung	F	HH	12.78	L
03Z	LID_1067770_PID_10516	14878688	8724728	0.7%	0.5%	RDID_12801	heart	F	HH	12.78	L
03Z	LID_1067568_PID_10516	27168340	15243848	0.6%	0.4%	RDID_15020	adrenal	F	HH	12.78	L
0B9	LID_111877_PID_10497	28296791	15774985	0.5%	0.4%	RDID_13967	omental_at	F	HH	12.12	H
0B9	LID_1068778_PID_10541	29466151	16619247	0.6%	0.5%	RDID_15844	pituitary	F	HH	12.12	H
0B9	LID_108996_PID_10413	30003991	18879077	0.8%	0.6%	RDID_12470	lung	F	HH	12.12	H
0B9	LID_1068197_PID_10533	18488833	10774238	0.8%	0.6%	RDID_15345	thymus	F	HH	12.12	H
0B9	LID_1068433_PID_10532	17888746	9907868	0.7%	0.5%	RDID_15518	thyroid	F	HH	12.12	H
0B9	LID_103845_PID_10123	12281195	5035878	0.7%	0.5%	DID_1003574	whole_blood	F	HH	12.12	H
0B9	LID_1066497_PID_10508	48192120	29391598	0.6%	0.5%	RDID_14303	ovaries	F	HH	12.12	H
0B9	LID_1065976_PID_10507	24765562	16796679	0.5%	0.5%	RDID_12676	heart	F	HH	12.12	H
0B9	LID_108367_PID_10471	44717600	30844024	0.5%	0.5%	RDID_10721	liver	F	HH	12.12	H
0B9	LID_1066790_PID_10515	17485841	11625648	1.0%	0.8%	RDID_13064	kidney	F	HH	12.12	H
0B9	LID_109475_PID_10415	48384405	33021657	0.7%	0.6%	RDID_11886	skeletal_muscle	F	HH	12.12	H
0B9	LID_1067645_PID_10520	27235355	12909907	0.6%	0.4%	RDID_14602	adrenal	F	HH	12.12	H
0B9	LID_108620_PID_10413	17596924	11423863	0.8%	0.6%	RDID_11569	spleen	F	HH	12.12	H
0G3	LID_108456_PID_10416	27510147	18230087	0.6%	0.5%	RDID_10972	liver	F	HH	9.1	H
0G3	LID_108979_PID_10471	19640829	11944663	0.7%	0.5%	RDID_12449	lung	F	HH	9.1	H
0G3	LID_1067626_PID_10520	26965217	13562048	0.8%	0.6%	RDID_14583	adrenal	F	HH	9.1	H
0G3	LID_1066769_PID_10515	14204048	9944208	1.1%	0.9%	RDID_13043	kidney	F	HH	9.1	H
0G3	LID_1066311_PID_10508	34003267	20722377	0.6%	0.5%	RDID_12629	heart	F	HH	9.1	H
0G3	LID_103864_PID_10123	8166032	3900391	0.7%	0.5%	DID_1003593	whole_blood	F	HH	9.1	H
0G3	LID_111856_PID_10497	45502190	27596469	0.5%	0.4%	RDID_13946	omental_at	F	HH	9.1	H
0G3	LID_108654_PID_10413	26332730	16675309	0.7%	0.5%	RDID_11917	spleen	F	HH	9.1	H
0G3	LID_109504_PID_10416	21582986	15414412	0.7%	0.6%	RDID_11913	skeletal_muscle	F	HH	9.1	H
0J1	LID_1067476_PID_10515	68919557	39739727	0.5%	0.5%	RDID_14454	testis	M	KK	10.2	L
0J1	LID_1068122_PID_10532	18751778	11878641	0.7%	0.5%	RDID_15217	thymus	M	KK	10.2	L
0J1	LID_1068191_PID_10533	15177791	8588818	0.8%	0.6%	RDID_14173	omental_at	M	KK	10.2	L
0J1	LID_1067471_PID_10518	23763425	17563016	0.7%	0.6%	RDID_12557	lung	M	KK	10.2	L
0J1	LID_1067520_PID_10515	36989887	20606897	0.6%	0.5%	RDID_13418	kidney	M	KK	10.2	L
0J1	LID_1067800_PID_10518	18518161	11716309	0.7%	0.5%	RDID_12855	heart	M	KK	10.2	L
0J1	LID_1067844_PID_10524	15939718	8069499	0.7%	0.5%	RDID_15035	adrenal	M	KK	10.2	L
0J1	LID_1068713_PID_10540	17076187	11029823	0.7%	0.6%	RDID_15702	thyroid	M	KK	10.2	L
0J1	LID_108870_PID_10491	16866134	10481044	0.5%	0.4%	RDID_12148	liver	M	KK	10.2	L
0J1	LID_108864_PID_10429	10254787	6652307	0.6%	0.3%	RDID_12220	spleen	M	KK	10.2	L
0J1	LID_109608_PID_10471	21786971	12727655	0.7%	0.6%	RDID_11347	skeletal_muscle	M	KK	10.2	L
0K1	LID_108474_PID_10415	13064213	7346390	0.6%	0.4%	RDID_11357	spleen	M	HH	7.02	L
0K1	LID_1066730_PID_10511	13417890	9037062	1.0%	0.9%	RDID_12973	kidney	M	HH	7.02	L
