sample_id	reads	percent_uniquelymapped	perc_chg_meth	perc_chh_meth	sample_name	tissue	monkey_id	sex	age	group	rank
LID_108630_PID_10413	31378992	0.597983389651267	0.7%	0.5%	RDID_11656	spleen	ID1	F	12.78	HH	L
LID_109606_PID_10471	23872027	0.602891953833665	0.7%	0.5%	RDID_11332	skeletal_muscle	ID1	F	12.78	HH	L
LID_108522_PID_10414	26837329	0.594638944881586	0.7%	0.6%	RDID_10784	liver	ID1	F	12.78	HH	L
LID_1066606_PID_10511	33199887	0.533665701934467	0.7%	0.5%	RDID_14442	ovaries	ID1	F	12.78	HH	L
LID_1067505_PID_10515	31825692	0.577010517163303	0.7%	0.5%	RDID_13355	kidney	ID1	F	12.78	HH	L
LID_1068088_PID_10532	15538928	0.59738194294999	0.7%	0.5%	RDID_15183	thymus	ID1	F	12.78	HH	L
LID_1068682_PID_10540	15260556	0.623919796893377	0.7%	0.5%	RDID_15671	thyroid	ID1	F	12.78	HH	L
LID_1067434_PID_10518	18162059	0.754112185187814	0.6%	0.5%	RDID_12542	lung	ID1	F	12.78	HH	L
LID_1067770_PID_10516	14878688	0.586390950599945	0.7%	0.5%	RDID_12801	heart	ID1	F	12.78	HH	L
LID_1067568_PID_10516	27168340	0.561088678954989	0.6%	0.4%	RDID_15020	adrenal	ID1	F	12.78	HH	L
LID_111877_PID_10497	28296791	0.557483178923009	0.5%	0.4%	RDID_13967	omental_adipose	ID2	F	12.12	HH	H
LID_1068778_PID_10541	29466151	0.564011465223266	0.6%	0.5%	RDID_15844	pituitary	ID2	F	12.12	HH	H
LID_108996_PID_10413	30003991	0.62921885958438	0.8%	0.6%	RDID_12470	lung	ID2	F	12.12	HH	H
LID_1068197_PID_10533	18488833	0.582742999517601	0.8%	0.6%	RDID_15345	thymus	ID2	F	12.12	HH	H
LID_1068433_PID_10532	17888746	0.553860399158219	0.7%	0.5%	RDID_15518	thyroid	ID2	F	12.12	HH	H
LID_103845_PID_10123	12281195	0.410047882148276	0.7%	0.5%	DID_1003574	whole_blood	ID2	F	12.12	HH	H
LID_1066497_PID_10508	48192120	0.609883898031462	0.6%	0.5%	RDID_14303	ovaries	ID2	F	12.12	HH	H
LID_1065976_PID_10507	24765562	0.678227249597647	0.5%	0.5%	RDID_12676	heart	ID2	F	12.12	HH	H
LID_108367_PID_10471	44717600	0.689751328336047	0.5%	0.5%	RDID_10721	liver	ID2	F	12.12	HH	H
LID_1066790_PID_10515	17485841	0.664860672128953	1.0%	0.8%	RDID_13064	kidney	ID2	F	12.12	HH	H
LID_109475_PID_10415	48384405	0.68248554467085	0.7%	0.6%	RDID_11886	skeletal_muscle	ID2	F	12.12	HH	H
LID_1067645_PID_10520	27235355	0.47401280431263	0.6%	0.4%	RDID_14602	adrenal	ID2	F	12.12	HH	H
LID_108620_PID_10413	17596924	0.649196586858021	0.8%	0.6%	RDID_11569	spleen	ID2	F	12.12	HH	H
LID_108456_PID_10416	27510147	0.662667742197088	0.6%	0.5%	RDID_10972	liver	ID3	F	9.1	HH	H
LID_108979_PID_10471	19640829	0.608154727073893	0.7%	0.5%	RDID_12449	lung	ID3	F	9.1	HH	H
LID_1067626_PID_10520	26965217	0.502945998914083	0.8%	0.6%	RDID_14583	adrenal	ID3	F	9.1	HH	H
LID_1066769_PID_10515	14204048	0.700096761148653	1.1%	0.9%	RDID_13043	kidney	ID3	F	9.1	HH	H
LID_1066311_PID_10508	34003267	0.609423118078625	0.6%	0.5%	RDID_12629	heart	ID3	F	9.1	HH	H
LID_103864_PID_10123	8166032	0.477636017101084	0.7%	0.5%	DID_1003593	whole_blood	ID3	F	9.1	HH	H
LID_111856_PID_10497	45502190	0.606486610864224	0.5%	0.4%	RDID_13946	omental_adipose	ID3	F	9.1	HH	H
LID_108654_PID_10413	26332730	0.633254091011452	0.7%	0.5%	RDID_11917	spleen	ID3	F	9.1	HH	H
LID_109504_PID_10416	21582986	0.714192744229181	0.7%	0.6%	RDID_11913	skeletal_muscle	ID3	F	9.1	HH	H
LID_1067476_PID_10515	68919557	0.5766103081597	0.5%	0.5%	RDID_14454	testis	ID4	M	10.2	KK	L
LID_1068122_PID_10532	18751778	0.633467450393237	0.7%	0.5%	RDID_15217	thymus	ID4	M	10.2	KK	L
LID_1068191_PID_10533	15177791	0.565880634408525	0.8%	0.6%	RDID_14173	omental_adipose	ID4	M	10.2	KK	L
LID_1067471_PID_10518	23763425	0.739077637167201	0.7%	0.6%	RDID_12557	lung	ID4	M	10.2	KK	L
LID_1067520_PID_10515	36989887	0.557095429894122	0.6%	0.5%	RDID_13418	kidney	ID4	M	10.2	KK	L
LID_1067800_PID_10518	18518161	0.632692900769142	0.7%	0.5%	RDID_12855	heart	ID4	M	10.2	KK	L
LID_1067844_PID_10524	15939718	0.506251051618354	0.7%	0.5%	RDID_15035	adrenal	ID4	M	10.2	KK	L
LID_1068713_PID_10540	17076187	0.645918377445738	0.7%	0.6%	RDID_15702	thyroid	ID4	M	10.2	KK	L
LID_108870_PID_10491	16866134	0.621425396003613	0.5%	0.4%	RDID_12148	liver	ID4	M	10.2	KK	L
LID_108864_PID_10429	10254787	0.64870260103891	0.6%	0.3%	RDID_12220	spleen	ID4	M	10.2	KK	L
LID_109608_PID_10471	21786971	0.584186530564529	0.7%	0.6%	RDID_11347	skeletal_muscle	ID4	M	10.2	KK	L
LID_108474_PID_10415	13064213	0.562329319033607	0.6%	0.4%	RDID_11357	spleen	ID5	M	7.02	HH	L
LID_1066730_PID_10511	13417890	0.673508427927193	1.0%	0.9%	RDID_12973	kidney	ID5	M	7.02	HH	L
LID_1066273_PID_10507	25539108	0.619472222757349	0.6%	0.5%	RDID_12584	heart	ID5	M	7.02	HH	L
LID_109405_PID_10414	21395475	0.683888252071992	0.7%	0.6%	RDID_12410	lung	ID5	M	7.02	HH	L
LID_1067587_PID_10520	23769542	0.494109562565404	0.6%	0.5%	RDID_14544	adrenal	ID5	M	7.02	HH	L
LID_111817_PID_10496	9181657	0.655326810835996	0.5%	0.5%	RDID_13907	omental_adipose	ID5	M	7.02	HH	L
LID_105672_PID_10123	11228066	0.465982209224634	0.7%	0.5%	DID_1003676	whole_blood	ID5	M	7.02	HH	L
LID_1068726_PID_10541	25496976	0.540148878831749	0.7%	0.5%	RDID_15792	pituitary	ID5	M	7.02	HH	L
LID_1068475_PID_10533	13500869	0.64911666056459	0.6%	0.4%	RDID_15560	thyroid	ID5	M	7.02	HH	L
LID_103983_PID_10123	9905745	0.451455998513994	0.7%	0.5%	DID_1003720	whole_blood	ID6	M	8.07	KK	M
LID_1066953_PID_10516	13845138	0.613015341558892	0.7%	0.5%	RDID_14375	testis	ID6	M	8.07	KK	M
LID_1066016_PID_10507	16532634	0.628171167401395	0.8%	0.6%	RDID_12728	heart	ID6	M	8.07	KK	M
LID_1067716_PID_10524	21583333	0.530539652981307	0.6%	0.4%	RDID_14906	adrenal	ID6	M	8.07	KK	M
LID_1068492_PID_10533	27157138	0.634442370179067	0.5%	0.4%	RDID_15577	thyroid	ID6	M	8.07	KK	M
LID_109364_PID_10413	32881461	0.651100053005552	0.8%	0.6%	RDID_12140	liver	ID6	M	8.07	KK	M
LID_1069529_PID_10541	17438036	0.547091943152314	0.7%	0.4%	RDID_15909	pituitary	ID6	M	8.07	KK	M
LID_110686_PID_10491	26390837	0.653799498666905	0.6%	0.5%	RDID_11635	skeletal_muscle	ID6	M	8.07	KK	M
LID_108702_PID_10416	12505658	0.667660190291467	0.4%	0.3%	RDID_12002	spleen	ID6	M	8.07	KK	M
LID_1066862_PID_10514	28543874	0.630980153569904	0.7%	0.5%	RDID_13152	kidney	ID6	M	8.07	KK	M
LID_1068275_PID_10539	25377310	0.578083965558209	0.7%	0.4%	RDID_15282	thymus	ID6	M	8.07	KK	M
LID_1067402_PID_10518	42678998	0.574578508145857	0.6%	0.5%	RDID_12510	lung	ID6	M	8.07	KK	M
LID_105648_PID_10123	12159188	0.475289386100453	0.7%	0.5%	DID_1003632	whole_blood	ID7	F	5.96	KK	L
LID_1065910_PID_10503	13730319	0.564338599853361	0.5%	0.4%	RDID_14120	omental_adipose	ID7	F	5.96	KK	L
LID_1066522_PID_10510	23420036	0.574972813876119	0.5%	0.4%	RDID_14461	ovaries	ID7	F	5.96	KK	L
LID_1066891_PID_10514	29862021	0.625792909327872	0.9%	0.6%	RDID_13230	kidney	ID7	F	5.96	KK	L
LID_1067745_PID_10524	15581739	0.476448167948391	0.7%	0.5%	RDID_14951	adrenal	ID7	F	5.96	KK	L
LID_1067438_PID_10518	28536228	0.573129076484811	0.7%	0.5%	RDID_12927	lung	ID7	F	5.96	KK	L
LID_1068098_PID_10532	17058847	0.612191140468052	0.7%	0.6%	RDID_15193	thymus	ID7	F	5.96	KK	L
LID_1067790_PID_10518	27881362	0.66480973920858	0.5%	0.4%	RDID_12845	heart	ID7	F	5.96	KK	L
